FirstName,LastName,BirthDate,Gender,EmailAddress,YearlyIncome,EnglishEducation,Phone
Jon,Yang,1971-10-06,M,jon24@adventure-works.com,90000,Bachelors,1 (11) 500 555-0162
Christy,Zhu,1973-08-14,F,christy12@adventure-works.com,70000,Bachelors,1 (11) 500 555-0162
Shannon,Carlson,1969-09-29,M,shannon38@adventure-works.com,70000,Bachelors,1 (11) 500 555-0110
Jacquelyn,Suarez,1969-08-05,F,jacquelyn20@adventure-works.com,70000,Bachelors,1 (11) 500 555-0169
Shannon,Wang,1949-12-24,F,shannon1@adventure-works.com,20000,High School,1 (11) 500 555-0195
Harold,Sai,1951-10-01,M,harold3@adventure-works.com,30000,Partial College,1 (11) 500 555-0131
Jessie,Zhao,1952-06-05,M,jessie16@adventure-works.com,30000,Partial College,1 (11) 500 555-0184
Jill,Jimenez,1951-10-09,F,jill13@adventure-works.com,30000,Partial College,1 (11) 500 555-0116
Theresa,Ramos,1953-02-18,F,theresa13@adventure-works.com,20000,High School,1 (11) 500 555-0195
Denise,Stone,1952-12-08,F,denise10@adventure-works.com,20000,High School,1 (11) 500 555-0169
Jaime,Nath,1958-09-19,M,jaime41@adventure-works.com,20000,High School,1 (11) 500 555-0137
Wendy,Dominguez,1953-08-23,F,wendy12@adventure-works.com,10000,Partial High School,1 (11) 500 555-0177
Jennifer,Russell,1984-06-16,F,jennifer93@adventure-works.com,60000,Partial College,115-555-0183
Chloe,Garcia,1983-05-27,F,chloe27@adventure-works.com,40000,Partial High School,229-555-0112
Jesse,Murphy,1983-01-29,M,jesse15@adventure-works.com,30000,Partial College,961-555-0176
Megan,Sanchez,1982-12-11,F,megan28@adventure-works.com,70000,Partial College,404-555-0199
Nathan,Simmons,1981-08-23,M,nathan11@adventure-works.com,60000,Partial College,296-555-0181
Leonard,Nara,1955-11-16,M,leonard18@adventure-works.com,30000,High School,1 (11) 500 555-0151
Jaclyn,Lu,1955-08-27,F,jaclyn12@adventure-works.com,30000,High School,1 (11) 500 555-0137
Carol,Rai,1986-01-15,F,carol8@adventure-works.com,40000,Partial High School,654-555-0180
Heidi,Lopez,1957-02-03,F,heidi19@adventure-works.com,40000,Partial College,1 (11) 500 555-0168
Ana,Price,1986-02-17,F,ana0@adventure-works.com,60000,Partial College,859-555-0113
Deanna,Munoz,1957-09-07,F,deanna33@adventure-works.com,40000,Partial College,1 (11) 500 555-0192
Gilbert,Raje,1957-09-02,M,gilbert35@adventure-works.com,40000,Partial College,1 (11) 500 555-0129
Michele,Nath,1958-10-01,F,michele19@adventure-works.com,40000,Partial College,1 (11) 500 555-0178
Carl,Andersen,1970-04-07,M,carl12@adventure-works.com,70000,Graduate Degree,1 (11) 500 555-0181
Todd,Gao,1976-02-20,M,todd14@adventure-works.com,80000,Partial College,1 (11) 500 555-0191
Angela,Murphy,1980-10-04,F,angela41@adventure-works.com,40000,High School,451-555-0162
Jessica,Henderson,1979-04-08,F,jessica29@adventure-works.com,60000,Partial College,278-555-0186
Carolyn,Navarro,1966-09-17,F,carolyn30@adventure-works.com,80000,High School,1 (11) 500 555-0145
Casey,Luo,1960-08-05,F,casey6@adventure-works.com,80000,High School,1 (11) 500 555-0125
Levi,Arun,1962-02-25,M,levi6@adventure-works.com,70000,High School,1 (11) 500 555-0127
Donald,Gonzalez,1970-03-07,M,donald20@adventure-works.com,160000,Graduate Degree,1 (11) 500 555-0137
Damien,Chander,1965-01-13,M,damien32@adventure-works.com,170000,Graduate Degree,1 (11) 500 555-0111
Angela,Butler,1972-02-01,F,angela17@adventure-works.com,130000,Graduate Degree,579-555-0195
Emily,Johnson,1963-01-16,F,emily1@adventure-works.com,60000,High School,850-555-0184
Ryan,Brown,1963-06-22,M,ryan43@adventure-works.com,70000,Partial College,539-555-0198
Tamara,Liang,1963-04-02,F,tamara6@adventure-works.com,70000,Partial College,178-555-0152
Abigail,Price,1962-08-05,F,abigail25@adventure-works.com,80000,Bachelors,532-555-0117
Dalton,Perez,1962-10-02,M,dalton37@adventure-works.com,90000,Partial College,559-555-0115
Aimee,He,1978-09-06,F,aimee13@adventure-works.com,100000,Graduate Degree,1 (11) 500 555-0161
Chad,Kumar,1968-02-29,M,chad9@adventure-works.com,70000,Partial College,1 (11) 500 555-0151
Mallory,Rubio,1966-10-29,F,mallory7@adventure-works.com,60000,Partial College,1 (11) 500 555-0157
Abby,Sai,1970-11-05,F,abby4@adventure-works.com,70000,Bachelors,1 (11) 500 555-0174
Candace,Fernandez,1970-06-27,F,candace15@adventure-works.com,70000,Bachelors,1 (11) 500 555-0162
Jessie,Liu,1970-03-11,M,jessie9@adventure-works.com,70000,Bachelors,1 (11) 500 555-0163
Leslie,Moreno,1967-11-25,F,leslie7@adventure-works.com,70000,Partial College,1 (11) 500 555-0115
Clinton,Carlson,1979-04-02,M,clinton14@adventure-works.com,70000,Partial College,1 (11) 500 555-0184
April,Deng,1966-08-21,F,april1@adventure-works.com,70000,Partial College,1 (11) 500 555-0182
Alvin,Zeng,1962-12-31,M,alvin21@adventure-works.com,80000,Partial College,1 (11) 500 555-0174
Evan,James,1940-10-07,M,evan8@adventure-works.com,30000,Partial College,1 (11) 500 555-0187
Beth,Jiménez,1942-02-06,F,beth8@adventure-works.com,40000,Bachelors,1 (11) 500 555-0164
Ross,Jordan,1968-07-23,M,ross1@adventure-works.com,80000,Partial College,1 (11) 500 555-0126
Dana,Navarro,1961-10-06,F,dana2@adventure-works.com,70000,Partial College,1 (11) 500 555-0172
Shaun,Carson,1954-10-05,M,shaun16@adventure-works.com,10000,High School,1 (11) 500 555-0155
Jan,Edwards,1981-04-19,F,jan11@adventure-works.com,40000,High School,111-555-0118
Julia,Wright,1981-02-01,F,julia17@adventure-works.com,40000,High School,456-555-0174
Amanda,Rivera,1985-09-09,F,amanda7@adventure-works.com,30000,High School,918-555-0126
Angela,Griffin,1986-03-08,F,angela23@adventure-works.com,30000,Partial High School,598-555-0174
Larry,Townsend,1957-02-22,M,larry14@adventure-works.com,10000,High School,1 (11) 500 555-0130
Lauren,Davis,1984-03-14,F,lauren23@adventure-works.com,40000,High School,832-555-0121
Tanya,Moreno,1949-11-05,F,tanya2@adventure-works.com,30000,Partial College,1 (11) 500 555-0185
Javier,Alvarez,1982-08-11,M,javier1@adventure-works.com,30000,Partial High School,763-555-0134
Jasmine,Coleman,1985-06-06,F,jasmine46@adventure-works.com,40000,High School,857-555-0115
Theodore,Gill,1946-10-18,M,theodore14@adventure-works.com,40000,Bachelors,1 (11) 500 555-0194
James,Williams,1981-07-09,M,james77@adventure-works.com,40000,High School,355-555-0153
Angela,James,1981-12-21,F,angela34@adventure-works.com,40000,High School,847-555-0111
Brianna,Hughes,1981-03-16,F,brianna57@adventure-works.com,40000,High School,319-555-0183
Maurice,Tang,1979-07-08,M,maurice4@adventure-works.com,40000,Partial College,947-555-0172
Gabriel,Wang,1980-06-18,M,gabriel21@adventure-works.com,40000,Partial College,617-555-0150
Devin,Brooks,1979-11-02,M,devin63@adventure-works.com,40000,Partial College,502-555-0138
Jocelyn,Alexander,1979-01-15,F,jocelyn18@adventure-works.com,60000,Partial College,354-555-0134
Ashley,Martinez,1977-10-22,F,ashley18@adventure-works.com,70000,Partial College,131-555-0194
Jasmine,Barnes,1978-01-29,F,jasmine43@adventure-works.com,80000,Bachelors,178-555-0156
Bryce,Richardson,1973-12-20,M,bryce8@adventure-works.com,90000,Bachelors,178-555-0176
Jonathan,Hill,1978-10-05,M,jonathan43@adventure-works.com,100000,Bachelors,134-555-0196
Sarah,Thomas,1973-02-28,F,sarah13@adventure-works.com,110000,Graduate Degree,868-555-0188
Molly,Rodriguez,1959-12-08,F,molly18@adventure-works.com,120000,Graduate Degree,135-555-0185
Sarah,Price,1949-11-18,F,sarah25@adventure-works.com,70000,Bachelors,180-555-0133
Catherine,Morris,1950-03-06,F,catherine16@adventure-works.com,60000,Graduate Degree,795-555-0117
Kristi,Perez,1951-06-17,F,kristi39@adventure-works.com,70000,Bachelors,123-555-0181
James,Brown,1951-03-13,M,james79@adventure-works.com,60000,Bachelors,725-555-0117
Jacqueline,Price,1950-12-08,F,jacqueline0@adventure-works.com,60000,Bachelors,266-555-0112
Jacqueline,Bennett,1957-11-02,F,jacqueline1@adventure-works.com,70000,Bachelors,413-555-0174
Amanda,Foster,1953-02-14,F,amanda37@adventure-works.com,70000,Bachelors,505-555-0159
Alexia,Price,1958-08-22,F,alexia0@adventure-works.com,80000,Bachelors,552-555-0118
Danielle,Cox,1954-01-16,F,danielle12@adventure-works.com,60000,Partial College,396-555-0158
Allison,Evans,1953-07-12,F,allison21@adventure-works.com,60000,Bachelors,988-555-0151
Charles,Miller,1955-05-07,M,charles9@adventure-works.com,60000,Partial College,389-555-0115
Charles,Cook,1956-05-31,M,charles69@adventure-works.com,60000,High School,755-555-0111
Erica,Huang,1961-02-19,F,erica5@adventure-works.com,60000,Partial College,618-555-0157
Alexandra,Rivera,1956-02-14,F,alexandra11@adventure-works.com,80000,Bachelors,488-555-0143
Hailey,Patterson,1957-03-15,F,hailey30@adventure-works.com,70000,High School,480-555-0126
Sydney,Ross,1962-09-23,F,sydney26@adventure-works.com,60000,Partial College,219-555-0146
Adrian,Stewart,1957-06-01,M,adrian21@adventure-works.com,70000,Partial College,812-555-0122
Dennis,Zhang,1963-11-11,M,dennis1@adventure-works.com,60000,High School,710-555-0134
Anna,Griffin,1958-05-19,F,anna46@adventure-works.com,70000,Partial College,965-555-0146
Lisa,Cai,1974-04-06,F,lisa24@adventure-works.com,100000,Partial College,1 (11) 500 555-0125
Larry,Munoz,1963-05-11,M,larry9@adventure-works.com,110000,Partial College,1 (11) 500 555-0193
Ricky,Vazquez,1962-04-26,M,ricky15@adventure-works.com,120000,High School,1 (11) 500 555-0147
Latasha,Rubio,1962-04-08,F,latasha21@adventure-works.com,120000,High School,1 (11) 500 555-0178
Shannon,Liu,1966-03-08,F,shannon4@adventure-works.com,170000,High School,1 (11) 500 555-0119
Xavier,Long,1938-01-01,M,xavier51@adventure-works.com,30000,High School,243-555-0114
Nicholas,Thompson,1937-12-05,M,nicholas16@adventure-works.com,90000,Graduate Degree,377-555-0147
Johnathan,Vance,1938-08-31,M,johnathan5@adventure-works.com,70000,Graduate Degree,494-555-0166
Colin,Lin,1938-10-02,M,colin8@adventure-works.com,70000,Graduate Degree,599-555-0132
Katelyn,Hernandez,1939-03-20,F,katelyn42@adventure-works.com,70000,Graduate Degree,249-555-0116
Jacqueline,Powell,1938-07-06,F,jacqueline9@adventure-works.com,120000,Graduate Degree,796-555-0111
Stephanie,Collins,1970-10-22,F,stephanie52@adventure-works.com,130000,Graduate Degree,209-555-0173
Jennifer,Simmons,1975-05-01,F,jennifer88@adventure-works.com,80000,Bachelors,148-555-0115
Trinity,Richardson,1970-03-11,F,trinity9@adventure-works.com,90000,Partial College,111-555-0116
Taylor,Howard,1969-11-02,F,taylor14@adventure-works.com,90000,Partial College,162-555-0131
Katelyn,Carter,1969-10-31,F,katelyn33@adventure-works.com,130000,Graduate Degree,103-555-0195
Ryan,Foster,1975-10-10,M,ryan19@adventure-works.com,130000,Graduate Degree,961-555-0133
Robert,Lee,1975-05-01,M,robert82@adventure-works.com,130000,Graduate Degree,447-555-0174
Lauren,Martinez,1962-05-10,F,lauren35@adventure-works.com,70000,Partial College,977-555-0117
Nathan,Lal,1962-03-31,M,nathan26@adventure-works.com,90000,Partial College,147-555-0121
Kyle,Foster,1939-10-10,M,kyle11@adventure-works.com,50000,Graduate Degree,846-555-0126
Jenny,Rai,1939-07-18,F,jenny40@adventure-works.com,80000,Graduate Degree,780-555-0119
Amanda,Cook,1974-09-08,F,amanda3@adventure-works.com,90000,Partial College,252-555-0177
Megan,Barnes,1974-10-06,F,megan53@adventure-works.com,110000,Bachelors,807-555-0156
Theresa,Serrano,1967-09-24,F,theresa12@adventure-works.com,110000,Bachelors,777-555-0162
Cindy,Sanchez,1978-03-12,F,cindy19@adventure-works.com,110000,Bachelors,198-555-0118
Katelyn,Sanchez,1972-08-14,F,katelyn26@adventure-works.com,130000,Bachelors,395-555-0150
Jenna,Wright,1972-05-01,F,jenna19@adventure-works.com,130000,Bachelors,118-555-0191
Seth,Phillips,1967-05-05,M,seth42@adventure-works.com,150000,Partial College,980-555-0196
Luke,Long,1960-11-23,M,luke28@adventure-works.com,60000,High School,786-555-0117
Dalton,Clark,1961-03-02,M,dalton18@adventure-works.com,60000,High School,388-555-0195
Taylor,Lewis,1959-11-13,F,taylor67@adventure-works.com,80000,Partial High School,291-555-0174
Haley,Richardson,1941-04-05,F,haley10@adventure-works.com,50000,Graduate Degree,620-555-0129
Noah,Coleman,1940-08-01,M,noah2@adventure-works.com,70000,Graduate Degree,847-555-0167
Orlando,Vazquez,1941-09-29,M,orlando14@adventure-works.com,70000,Graduate Degree,757-555-0143
Cameron,Rodriguez,1965-12-07,M,cameron38@adventure-works.com,80000,Partial College,727-555-0119
Spencer,Russell,1971-12-09,M,spencer22@adventure-works.com,90000,High School,834-555-0131
Julia,Coleman,1966-04-10,F,julia72@adventure-works.com,90000,High School,907-555-0170
Julia,Garcia,1971-03-14,F,julia38@adventure-works.com,100000,Partial College,923-555-0183
Micah,Zhou,1965-12-20,M,micah19@adventure-works.com,110000,Partial College,497-555-0185
Victoria,Lewis,1959-12-10,F,victoria20@adventure-works.com,60000,High School,586-555-0191
Erin,Sanders,1964-07-05,F,erin7@adventure-works.com,70000,Graduate Degree,233-555-0160
Sara,Richardson,1958-10-01,F,sara10@adventure-works.com,70000,Graduate Degree,296-555-0174
Trevor,Jenkins,1958-08-27,M,trevor6@adventure-works.com,70000,Graduate Degree,120-555-0129
