FirstName,LastName,BirthDate,Gender,EmailAddress,YearlyIncome,EnglishEducation,Phone
Eugene,Huang,1976-05-10,M,eugene10@adventure-works.com,60000,Bachelors,1 (11) 500 555-0110
Ruben,Torres,1971-02-09,M,ruben35@adventure-works.com,60000,Bachelors,1 (11) 500 555-0184
Elizabeth,Johnson,1979-08-05,F,elizabeth5@adventure-works.com,80000,Bachelors,1 (11) 500 555-0131
Julio,Ruiz,1976-08-01,M,julio1@adventure-works.com,70000,Bachelors,1 (11) 500 555-0151
Janet,Alvarez,1976-12-02,F,janet9@adventure-works.com,70000,Bachelors,1 (11) 500 555-0184
Marco,Mehta,1969-11-06,M,marco14@adventure-works.com,60000,Bachelors,1 (11) 500 555-0126
Rob,Verhoff,1975-07-04,F,rob4@adventure-works.com,60000,Bachelors,1 (11) 500 555-0164
Curtis,Lu,1969-05-03,M,curtis9@adventure-works.com,60000,Bachelors,1 (11) 500 555-0117
Lauren,Walker,1979-01-14,F,lauren41@adventure-works.com,100000,Bachelors,717-555-0164
Ian,Jenkins,1979-08-03,M,ian47@adventure-works.com,100000,Bachelors,817-555-0185
Sydney,Bennett,1973-11-06,F,sydney23@adventure-works.com,100000,Bachelors,431-555-0156
Chloe,Young,1984-08-26,F,chloe23@adventure-works.com,30000,Partial College,208-555-0142
Wyatt,Hill,1984-10-25,M,wyatt32@adventure-works.com,30000,Partial College,135-555-0171
Clarence,Rai,1955-10-06,M,clarence32@adventure-works.com,30000,Partial College,1 (11) 500 555-0137
Luke,Lal,1983-09-04,M,luke18@adventure-works.com,40000,High School,262-555-0112
Jordan,King,1984-03-19,M,jordan73@adventure-works.com,40000,High School,550-555-0163
Destiny,Wilson,1984-03-02,F,destiny7@adventure-works.com,40000,Partial College,622-555-0158
Ethan,Zhang,1984-04-10,M,ethan20@adventure-works.com,40000,Partial College,589-555-0185
Seth,Edwards,1984-04-09,M,seth46@adventure-works.com,40000,Partial College,452-555-0188
Russell,Xie,1984-03-16,M,russell7@adventure-works.com,60000,Partial College,746-555-0186
Alejandro,Beck,1951-06-22,M,alejandro45@adventure-works.com,10000,Partial High School,1 (11) 500 555-0178
Jimmy,Moreno,1952-06-19,M,jimmy9@adventure-works.com,30000,Partial College,1 (11) 500 555-0146
Bethany,Yuan,1958-02-18,F,bethany10@adventure-works.com,10000,Partial High School,1 (11) 500 555-0182
Ebony,Gonzalez,1952-12-16,F,ebony19@adventure-works.com,20000,High School,1 (11) 500 555-0136
Diana,Hernandez,1953-09-20,F,diana2@adventure-works.com,10000,Partial High School,1 (11) 500 555-0114
Marc,Martin,1954-06-16,M,marc3@adventure-works.com,30000,Partial College,1 (11) 500 555-0183
Amanda,Carter,1983-04-15,F,amanda53@adventure-works.com,60000,Partial College,295-555-0145
Adam,Flores,1954-11-21,M,adam10@adventure-works.com,20000,Partial High School,1 (11) 500 555-0163
Christine,Yuan,1955-09-19,F,christine4@adventure-works.com,30000,High School,1 (11) 500 555-0113
Jeremy,Powell,1956-05-21,M,jeremy26@adventure-works.com,30000,High School,1 (11) 500 555-0183
Alan,Zheng,1957-03-06,M,alan23@adventure-works.com,30000,High School,1 (11) 500 555-0135
Daniel,Johnson,1957-01-31,M,daniel18@adventure-works.com,30000,High School,1 (11) 500 555-0155
Marc,Diaz,1965-04-23,M,marc6@adventure-works.com,80000,Partial College,1 (11) 500 555-0149
Ashlee,Andersen,1959-09-29,F,ashlee19@adventure-works.com,80000,Partial College,1 (11) 500 555-0112
Jon,Zhou,1959-09-14,M,jon28@adventure-works.com,80000,Partial College,1 (11) 500 555-0174
Noah,Powell,1981-03-01,M,noah5@adventure-works.com,40000,High School,767-555-0113
Chase,Reed,1981-06-05,M,chase21@adventure-works.com,40000,High School,892-555-0184
Grace,Butler,1979-05-27,F,grace62@adventure-works.com,70000,Partial College,712-555-0141
Caleb,Carter,1982-03-25,M,caleb40@adventure-works.com,60000,Partial College,944-555-0167
Tiffany,Liang,1966-09-19,F,tiffany17@adventure-works.com,80000,High School,1 (11) 500 555-0177
Willie,Raji,1960-10-02,M,willie40@adventure-works.com,80000,High School,1 (11) 500 555-0151
Linda,Serrano,1960-12-23,F,linda31@adventure-works.com,80000,High School,1 (11) 500 555-0130
Amy,Ye,1962-02-11,F,amy16@adventure-works.com,70000,High School,1 (11) 500 555-0185
Felicia,Jimenez,1963-05-16,F,felicia4@adventure-works.com,80000,High School,1 (11) 500 555-0165
Blake,Anderson,1963-01-10,M,blake9@adventure-works.com,80000,High School,1 (11) 500 555-0113
Leah,Ye,1963-03-19,F,leah7@adventure-works.com,80000,High School,1 (11) 500 555-0154
Gina,Martin,1985-01-06,F,gina1@adventure-works.com,40000,High School,196-555-0114
Savannah,Baker,1972-01-21,F,savannah39@adventure-works.com,120000,Bachelors,478-555-0117
Alyssa,Cox,1977-03-11,F,alyssa37@adventure-works.com,130000,Graduate Degree,561-555-0140
Lucas,Phillips,1963-03-12,M,lucas7@adventure-works.com,80000,Partial High School,863-555-0172
Hunter,Davis,1963-05-25,M,hunter64@adventure-works.com,80000,Bachelors,612-555-0141
Trevor,Bryant,1968-12-13,M,trevor18@adventure-works.com,90000,Partial College,853-555-0174
Cheryl,Diaz,1972-11-02,F,cheryl4@adventure-works.com,90000,Bachelors,1 (11) 500 555-0192
Cedric,Ma,1967-09-29,M,cedric15@adventure-works.com,70000,Partial College,1 (11) 500 555-0115
Andrés,Anand,1968-02-07,M,andrés18@adventure-works.com,60000,Bachelors,1 (11) 500 555-0184
Edwin,Nara,1972-10-23,M,edwin39@adventure-works.com,60000,Partial College,1 (11) 500 555-0112
Adam,Ross,1966-09-05,M,adam2@adventure-works.com,60000,Bachelors,1 (11) 500 555-0186
Latasha,Navarro,1966-03-15,F,latasha10@adventure-works.com,60000,Partial College,1 (11) 500 555-0123
Julia,Nelson,1970-10-19,F,julia7@adventure-works.com,80000,Bachelors,1 (11) 500 555-0124
Cassie,Chande,1981-04-12,F,cassie13@adventure-works.com,70000,Bachelors,1 (11) 500 555-0166
Edgar,Sara,1975-03-08,M,edgar11@adventure-works.com,70000,Bachelors,1 (11) 500 555-0125
Bianca,Lin,1976-03-04,F,bianca7@adventure-works.com,90000,Bachelors,1 (11) 500 555-0121
Kari,Alvarez,1969-01-10,F,kari25@adventure-works.com,70000,Bachelors,1 (11) 500 555-0169
Ruben,Kapoor,1980-04-30,M,ruben1@adventure-works.com,70000,Bachelors,1 (11) 500 555-0132
Curtis,Yang,1967-12-04,M,curtis5@adventure-works.com,60000,Partial College,1 (11) 500 555-0127
Meredith,Gutierrez,1967-08-23,F,meredith34@adventure-works.com,60000,Partial College,1 (11) 500 555-0179
Crystal,Wang,1968-03-08,F,crystal3@adventure-works.com,60000,Partial College,1 (11) 500 555-0134
Micheal,Blanco,1973-02-17,M,micheal11@adventure-works.com,70000,Bachelors,1 (11) 500 555-0131
Alvin,Cai,1967-08-12,M,alvin20@adventure-works.com,70000,Partial College,1 (11) 500 555-0191
Orlando,Suarez,1966-05-18,M,orlando19@adventure-works.com,70000,Partial College,1 (11) 500 555-0198
Byron,Vazquez,1965-09-30,M,byron9@adventure-works.com,70000,Partial College,1 (11) 500 555-0136
Philip,Alvarez,1965-12-18,M,philip4@adventure-works.com,70000,Partial College,1 (11) 500 555-0191
Samantha,Long,1981-06-03,F,samantha35@adventure-works.com,40000,High School,175-555-0139
Caroline,Russell,1985-07-05,F,caroline21@adventure-works.com,30000,High School,424-555-0137
Melissa,Richardson,1986-04-25,F,melissa31@adventure-works.com,30000,High School,928-555-0118
Marcus,Harris,1985-05-02,M,marcus14@adventure-works.com,30000,Partial High School,442-555-0119
Brianna,Morgan,1984-04-24,F,brianna30@adventure-works.com,40000,High School,954-555-0117
Jasmine,Taylor,1984-01-17,F,jasmine7@adventure-works.com,40000,High School,557-555-0146
Nicole,Ramirez,1982-12-19,F,nicole42@adventure-works.com,40000,High School,152-555-0162
Eduardo,Patterson,1983-02-11,M,eduardo55@adventure-works.com,40000,High School,190-555-0184
Jonathan,Henderson,1982-08-04,M,jonathan4@adventure-works.com,40000,High School,149-555-0113
Edward,Hernandez,1985-03-08,M,edward48@adventure-works.com,40000,High School,178-555-0196
Karla,Goel,1945-02-22,F,karla20@adventure-works.com,40000,Bachelors,1 (11) 500 555-0137
Ernest,Wu,1944-08-04,M,ernest6@adventure-works.com,60000,Graduate Degree,1 (11) 500 555-0139
Ross,Vazquez,1947-02-13,M,ross32@adventure-works.com,40000,Bachelors,1 (11) 500 555-0163
Russell,Shen,1946-09-12,M,russell6@adventure-works.com,40000,Bachelors,1 (11) 500 555-0191
Melinda,Gill,1947-08-25,F,melinda9@adventure-works.com,60000,Graduate Degree,1 (11) 500 555-0117
Megan,Walker,1982-02-18,F,megan25@adventure-works.com,40000,Partial College,918-555-0186
Hunter,Robinson,1981-07-25,M,hunter50@adventure-works.com,40000,Partial College,891-555-0125
Maria,Roberts,1981-08-06,F,maria47@adventure-works.com,40000,Partial College,158-555-0199
Hannah,Long,1980-12-08,F,hannah32@adventure-works.com,40000,High School,974-555-0177
Jason,Wright,1981-04-06,M,jason46@adventure-works.com,40000,High School,694-555-0176
Emily,Wood,1979-10-20,F,emily27@adventure-works.com,40000,Partial College,184-555-0114
Chase,Cox,1979-09-02,M,chase10@adventure-works.com,40000,Partial College,764-555-0116
David,Rodriguez,1973-11-12,M,david83@adventure-works.com,80000,Bachelors,730-555-0128
Carol,Howard,1973-08-04,F,carol5@adventure-works.com,90000,Bachelors,845-555-0127
Gabrielle,Adams,1973-05-20,F,gabrielle58@adventure-works.com,100000,Bachelors,403-555-0152
Nicholas,Robinson,1973-01-09,M,nicholas19@adventure-works.com,110000,Graduate Degree,949-555-0138
Luis,Wang,1968-09-01,M,luis24@adventure-works.com,70000,Partial College,418-555-0127
Mason,Roberts,1979-01-21,M,mason25@adventure-works.com,90000,Bachelors,539-555-0162
Jose,Flores,1948-01-01,M,jose6@adventure-works.com,110000,Graduate Degree,157-555-0182
Nathan,Johnson,1954-08-20,M,nathan55@adventure-works.com,100000,Graduate Degree,117-555-0182
April,Anand,1948-07-01,F,april18@adventure-works.com,160000,Bachelors,702-555-0144
Devin,Martin,1960-02-01,M,devin13@adventure-works.com,170000,Graduate Degree,735-555-0197
Stephanie,Torres,1950-02-22,F,stephanie19@adventure-works.com,70000,Bachelors,567-555-0176
Jasmine,Lee,1950-01-12,F,jasmine19@adventure-works.com,70000,Bachelors,147-555-0199
Meghan,Hernandez,1955-11-13,F,meghan3@adventure-works.com,70000,Bachelors,967-555-0188
Ashley,Henderson,1950-04-07,F,ashley31@adventure-works.com,70000,Bachelors,173-555-0121
Jennifer,Cooper,1949-08-21,F,jennifer63@adventure-works.com,60000,Graduate Degree,857-555-0111
Lawrence,Blanco,1950-01-12,M,lawrence14@adventure-works.com,60000,Graduate Degree,656-555-0171
Carson,Bryant,1949-12-20,M,carson17@adventure-works.com,70000,Bachelors,240-555-0142
Ian,Gray,1950-08-13,M,ian72@adventure-works.com,60000,Bachelors,596-555-0190
Megan,Henderson,1951-08-10,F,megan55@adventure-works.com,60000,Bachelors,560-555-0150
Alfredo,Romero,1951-12-05,M,alfredo10@adventure-works.com,60000,Bachelors,342-555-0110
Andrea,Morris,1951-12-16,F,andrea18@adventure-works.com,70000,Bachelors,715-555-0178
Brooke,Sanders,1952-05-25,F,brooke3@adventure-works.com,70000,Bachelors,215-555-0156
Jason,Griffin,1953-05-21,M,jason18@adventure-works.com,70000,Bachelors,232-555-0160
Luis,Diaz,1959-08-18,M,luis21@adventure-works.com,40000,High School,171-555-0126
Destiny,Rivera,1953-11-29,F,destiny33@adventure-works.com,40000,High School,743-555-0111
Abby,Fernandez,1954-01-21,F,abby13@adventure-works.com,40000,High School,134-555-0119
Blake,Flores,1954-03-24,M,blake60@adventure-works.com,60000,Partial College,975-555-0163
Maria,Reed,1953-08-03,F,maria4@adventure-works.com,60000,Bachelors,156-555-0163
Edward,Wood,1953-12-06,M,edward50@adventure-works.com,70000,Partial College,229-555-0114
Samantha,Russell,1960-10-08,F,samantha42@adventure-works.com,40000,High School,547-555-0121
Chloe,Campbell,1955-05-05,F,chloe4@adventure-works.com,40000,High School,205-555-0169
Stephanie,Murphy,1954-11-11,F,stephanie11@adventure-works.com,60000,Partial College,293-555-0151
Ana,Perry,1961-06-17,F,ana7@adventure-works.com,40000,Partial High School,446-555-0134
Jasmine,Torres,1955-11-17,F,jasmine32@adventure-works.com,60000,Partial College,939-555-0130
Natalie,Adams,1955-08-11,F,natalie58@adventure-works.com,60000,Partial College,300-555-0150
Olivia,Brown,1961-09-07,F,olivia4@adventure-works.com,60000,Partial College,414-555-0147
Nathan,Perry,1955-12-08,M,nathan3@adventure-works.com,70000,Partial College,271-555-0191
Tiffany,Li,1957-03-05,F,tiffany3@adventure-works.com,70000,High School,197-555-0118
Madison,Lee,1962-02-12,F,madison22@adventure-works.com,60000,Partial College,471-555-0142
Marshall,Chavez,1962-08-08,M,marshall35@adventure-works.com,60000,Partial College,712-555-0116
Ashley,Jones,1956-10-16,F,ashley3@adventure-works.com,60000,Partial College,996-555-0169
Amber,Turner,1956-09-30,F,amber4@adventure-works.com,70000,Partial College,155-555-0131
Hailey,Bryant,1958-03-27,F,hailey38@adventure-works.com,60000,High School,156-555-0195
Todd,Li,1963-09-06,M,todd5@adventure-works.com,70000,Partial College,680-555-0147
Angel,Stewart,1957-08-07,M,angel24@adventure-works.com,70000,Partial College,540-555-0122
Jeremy,Butler,1957-09-02,M,jeremy29@adventure-works.com,70000,Partial College,980-555-0117
Clarence,Anand,1964-03-22,M,clarence36@adventure-works.com,130000,Bachelors,1 (11) 500 555-0191
Mayra,Prasad,1964-02-07,F,mayra9@adventure-works.com,130000,Bachelors,1 (11) 500 555-0116
Latoya,Goel,1969-10-02,F,latoya18@adventure-works.com,130000,Partial College,1 (11) 500 555-0149
Anne,Hernandez,1964-06-09,F,anne4@adventure-works.com,160000,Partial College,1 (11) 500 555-0119
Robin,Alvarez,1963-04-08,F,robin2@adventure-works.com,150000,Partial College,1 (11) 500 555-0198
Alexis,Coleman,1968-11-22,F,alexis28@adventure-works.com,170000,Bachelors,1 (11) 500 555-0115
Claudia,Zhou,1961-12-04,F,claudia7@adventure-works.com,130000,Partial College,1 (11) 500 555-0116
Tristan,Alexander,1966-03-22,M,tristan19@adventure-works.com,110000,Partial College,1 (11) 500 555-0124
Cindy,Patel,1966-07-09,F,cindy3@adventure-works.com,130000,Partial College,1 (11) 500 555-0149
José,Hernandez,1949-08-24,M,josé54@adventure-works.com,60000,Graduate Degree,712-555-0130
Xavier,Hill,1938-12-26,M,xavier26@adventure-works.com,120000,Graduate Degree,559-555-0149
Victoria,Stewart,1970-09-24,F,victoria24@adventure-works.com,100000,Partial College,230-555-0139
